,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,mode,AUX2,AUX3,Battery,time step
0,1400,1501,1496,1500,0.0,0.4,358,-178.0,-3.886210346217244,-5.92602316284279,315.49216366456466,1000.0,1000.0,-3.67702774604564,6.058039974810806,Controller Detection,1500,1500,3.6,6.611982107162476
1,1700,1501,1496,1500,0.0,0.4,358,-178.0,-3.886210346217244,-5.92602316284279,315.49216366456466,1000.0,1000.0,-3.67702774604564,6.058039974810806,Controller Detection,1500,1500,3.6,6.660520792007446
2,1700,1501,1497,1500,0.0,0.4,358,-178.0,-3.784792648251691,-5.81609949653432,306.93333258068407,1000.0,1000.0,-3.579508109631333,5.944643844414089,Controller Detection,1500,1500,3.6,6.710521936416626
3,1700,1501,1497,1500,0.0,0.4,358,-178.0,-3.784792648251691,-5.81609949653432,306.93333258068407,1000.0,1000.0,-3.579508109631333,5.944643844414089,Controller Detection,1500,1500,3.6,6.760098457336426
4,1700,1501,1497,1500,0.0,0.4,358,-178.0,-3.784792648251691,-5.81609949653432,306.93333258068407,1000.0,1000.0,-3.579508109631333,5.944643844414089,Controller Detection,1500,1500,3.6,6.80709981918335
5,1700,1501,1497,1500,0.0,0.4,358,-178.0,-3.6249065486746623,-5.56650579276321,293.7981410977545,1000.0,1000.0,-3.428430102987914,5.689622241978556,Controller Detection,1500,1500,3.6,6.861671686172485
6,1700,1501,1497,1500,0.0,0.4,358,-178.0,-3.7196383724795568,-5.663106923652435,301.5689909792075,1000.0,1000.0,-3.519732887876388,5.7894706190414205,Controller Detection,1500,1500,3.6,6.916677713394165
7,1700,1501,1497,1500,0.0,0.4,358,-178.0,-3.676647696708804,-5.697345004284435,298.04409606243337,1000.0,1000.0,-3.475573509081629,5.822187489812482,Controller Detection,1500,1500,3.6,6.969295024871826
8,1700,1501,1497,1500,0.0,0.4,358,-178.0,-3.784792648251691,-5.81609949653432,306.93333258068407,1000.0,1000.0,-3.579508109631333,5.944643844414089,Controller Detection,1500,1500,3.6,7.020306348800659
9,1700,1501,1496,1500,0.0,0.4,358,-178.0,-3.886210346217244,-5.92602316284279,315.49216366456466,1000.0,1000.0,-3.67702774604564,6.058039974810806,Controller Detection,1500,1500,3.6,7.069859027862549
10,1700,1501,1497,1500,0.0,0.4,358,-178.0,-3.7196383724795568,-5.663106923652435,301.5689909792075,1000.0,1000.0,-3.519732887876388,5.7894706190414205,Controller Detection,1500,1500,3.6,7.118844032287598
11,1700,1501,1497,1500,0.1,0.4,358,-178.0,-3.784792648251691,-5.81609949653432,306.93333258068407,1000.0,1000.0,-3.579508109631333,5.944643844414089,Controller Detection,1500,1500,3.6,7.168411493301392
12,1700,1501,1497,1500,0.1,0.4,358,-178.0,-3.784792648251691,-5.81609949653432,306.93333258068407,1000.0,1000.0,-3.579508109631333,5.944643844414089,Controller Detection,1500,1500,3.6,7.217401504516602
13,1700,1501,1497,1500,0.1,0.4,358,-178.0,-3.6249065486746623,-5.56650579276321,293.7981410977545,1000.0,1000.0,-3.428430102987914,5.689622241978556,Controller Detection,1500,1500,3.6,7.261997222900391
