,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,Pterm_z,Iterm_z,Dterm_z,Pterm_roll,Iterm_roll,Dterm_roll,Pterm_pitch,Iterm_pitch,Dterm_pitch,mode,AUX2,AUX3,Battery,time step
0,1400,1508,1510,1500,0.9,0.1,244,-54.0,34.326836872956726,1.9635234798285728,305.6475434586192,1000.0,1000.0,-21.76533233580899,-26.616864249385337,1869.7664021051673,0.0,0.0,1508.7061329343237,0.010882666167904495,-0.0,1510.646745699754,0.013308432124692668,-0.0,Controller Detection,1500,1500,3.9,14.09821081161499
1,1750,1508,1510,1500,0.9,0.1,244,-54.0,34.817242907902994,1.9907044685405468,310.47211805388304,1000.0,1000.0,-22.075575652577534,-26.997634481493275,1886.6524131885906,0.0,0.0,1508.830230261031,0.03280312016209776,-0.0,1510.7990537925973,0.04011568149013198,-0.0,Controller Detection,1500,1500,3.9,14.149217367172241
2,1500,1508,1511,1500,0.9,0.1,244,-54.0,-1000.0,-1000.0,-1000.0,35.26900090277581,2.015743371172582,-22.361369237318808,-27.348396878989433,1886.6524131885906,0.0,0.0,1508.9445476949275,0.05502159260704593,-0.0,1510.9393587515958,0.06728869717037333,-0.0,Controller Memory,1500,1500,3.9,14.19620418548584
3,1750,1508,1510,1500,0.9,0.1,244,-54.0,34.31295066873438,1.8061581345109294,305.0992319140647,35.26900090277581,2.015743371172582,-21.629858991069117,-26.698127103381722,1867.8473116992266,0.0,0.0,1508.6519435964276,0.07701720672123989,-0.0,1510.6792508413528,0.0943119591615589,-0.0,Controller Detection,1500,1500,3.9,14.253202199935913
4,1750,1508,1510,1500,0.9,0.1,244,-54.0,34.47308403973835,1.8097643030135375,305.96077447488307,35.26900090277581,2.015743371172582,-21.72690047654832,-26.82555806922737,1870.8627106620906,0.0,0.0,1508.6907601906194,0.09869558645504861,-0.0,1510.7302232276909,0.12107380174786345,-0.0,Controller Detection,1500,1500,3.9,14.305201530456543
5,1500,1508,1510,1500,0.9,0.1,244,-54.0,-1000.0,-1000.0,-1000.0,34.63940832497154,1.8135098895509734,-21.82769368166916,-26.957915642030393,1870.8627106620906,0.0,0.0,1508.7310774726677,0.12047288353415736,-0.0,1510.7831662568121,0.14796553860349232,-0.0,Controller Memory,1500,1500,3.9,14.359211206436157
6,1750,1508,1510,1500,0.9,0.1,244,-54.0,34.326836872956726,1.9635234798285728,305.6475434586192,34.63940832497154,1.8135098895509734,-21.76533233580899,-26.616864249385337,1869.7664021051673,0.0,0.0,1508.7061329343237,0.14226939654289644,-0.0,1510.646745699754,0.1747529285492002,-0.0,Controller Detection,1500,1500,3.9,14.412204265594482
7,1750,1508,1510,1500,0.9,0.1,243,-53.0,33.899495466661726,1.9378922534440493,301.3799675896449,34.63940832497154,1.8135098895509734,-21.948895217357773,-25.907088180990673,1854.829886563757,0.0,0.0,1508.779558086943,0.16412651031947983,-0.0,1510.3628352723963,0.2010149047643882,0.0,Controller Detection,1500,1500,3.9,14.466203689575195
8,1750,1509,1510,1500,0.9,0.1,243,-53.0,34.167532770722474,1.8947999949251988,303.70397362276526,34.63940832497154,1.8135098895509734,-22.07578908584541,-26.147085858589126,1862.9639076796784,0.0,0.0,1508.8303156343381,0.18613885247108142,-0.0,1510.4588343434357,0.2270419917841781,0.0,Controller Detection,1500,1500,3.9,14.517223358154297
9,1750,1509,1510,1500,0.9,0.1,243,-53.0,34.36509533630262,1.8090405582600706,305.93945035540094,34.63940832497154,1.8135098895509734,-22.126194674381583,-26.356477656279612,1870.7880762439033,0.0,0.0,1508.8504778697527,0.2082398443511949,-0.0,1510.5425910625117,0.2532937735416125,-0.0,Controller Detection,1500,1500,3.9,14.572199821472168
