,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,Pterm_z,Iterm_z,Dterm_z,Pterm_roll,Iterm_roll,Dterm_roll,Pterm_pitch,Iterm_pitch,Dterm_pitch,mode,AUX2,AUX3,Battery,time step
0,1400,1500,1488,1500,-1.0,0.3,352,-342.0,-29.230433423911602,-14.271532057802638,268.99648289687883,1000.0,1000.0,-2.291932636493332,27.797206184781494,1828.9876901390758,0.0,0.0,1500.9167730545973,0.001145966318246666,0.04583865272986664,1488.8811175260873,-0.013898603092390747,-0.04945446321045578,Controller Detection,1500,1500,3.7,11.241535902023315
1,1750,1501,1488,1500,-1.1,0.3,352,-342.0,-27.70972908834794,-13.662925494950379,254.996408345665,1000.0,1000.0,-3.5501386333799694,28.845948905350966,1779.9874292098275,0.0,0.0,1501.420055453352,0.004067001953183317,0.07100277266759938,1488.4616204378597,-0.04222018063745697,-0.16729721315467663,Controller Detection,1500,1500,3.7,11.419526100158691
2,1750,1501,1488,1500,-1.1,0.3,351,-341.0,-28.331707670491365,-13.903223909476935,261.1225505519404,1000.0,1000.0,-2.536307914000192,28.473810956230412,1801.4289269317915,0.0,0.0,1501.0145231656002,0.007110225226873398,0.05072615828000384,1488.6104756175077,-0.07088006056824767,-0.13063541194836598,Controller Detection,1500,1500,3.7,11.62253737449646
3,1750,1501,1488,1500,-1.1,0.3,351,-341.0,-28.436153687004623,-13.995532968440774,262.0945760237585,1000.0,1000.0,-2.467605155206087,28.352526729447387,1804.8310160831547,0.0,0.0,1500.9870420620825,0.009612181761476537,0.04935210310412174,1488.658989308221,-0.09929322941108656,-0.11825887449944719,Controller Detection,1500,1500,3.7,11.818527936935425
4,1750,1500,1488,1500,0.1,4.2,351,-341.0,-29.230433423911602,-14.271532057802638,268.99648289687883,1000.0,1000.0,-1.806455423893798,27.832972275539728,1828.9876901390758,0.0,0.0,1500.7225821695574,0.01174921205102648,0.03612910847787596,1488.866811089784,-0.1273859789135801,-0.056992989573009425,Controller Detection,1500,1500,3.6,11.988134384155273
5,1750,1500,1488,1500,0.5,2.1,351,-341.0,-29.299991404567,-14.400041177575831,269.6208877395623,1000.0,1000.0,-1.7825255380584135,27.688818652270513,1831.173107088468,0.0,0.0,1500.7130102152234,0.013543702532002586,0.03565051076116827,1488.9244725390918,-0.15514687437748523,-0.03995458088752792,Controller Detection,1500,1500,3.6,12.157344579696655
6,1750,1500,1488,1500,0.1,-2.2,352,-342.0,-29.193658027071397,-13.643606890014489,260.3585963309211,1000.0,1000.0,-2.1328685692552725,28.405762729950645,1798.755087158224,0.0,0.0,1500.8531474277022,0.01550139958565943,0.04265737138510545,1488.6376949080197,-0.18319416506859582,-0.13429320605897957,Controller Detection,1500,1500,3.6,12.309338331222534
7,1750,1500,1488,1500,0.1,-3.1,353,-343.0,-30.53508114103331,-12.65058200054803,261.1416255523157,1000.0,1000.0,-1.0551509559595873,28.92165296755543,1801.4956894331049,0.0,0.0,1500.4220603823837,0.01709540934826686,0.021103019119191744,1488.4313388129779,-0.21185787291734887,-0.20085765284932391,Controller Detection,1500,1500,3.5,12.464343070983887
8,1750,1500,1486,1500,0.0,-1.8,352,-342.0,-30.286916210803675,-10.46525155203132,245.5918899155794,1000.0,1000.0,-0.11095243602455263,31.090722927228263,1747.071614704528,0.0,0.0,1500.04438097441,0.01767846104425893,0.0022190487204910487,1487.5637108291087,-0.24186406086474072,-0.44594924985996104,Controller Detection,1500,1500,3.5,12.641343832015991
9,1500,1489,1511,1500,0.1,-0.4,351,-341.0,-1000.0,-1000.0,-1000.0,-30.003698750924986,-7.971249929595189,25.77386937739055,-17.305213708404168,1747.071614704528,0.0,0.0,1489.6904522490438,0.004847002573575929,-0.515477387547811,1506.9220854833616,-0.24875681547415276,4.34569036354094,Controller Memory,1500,1500,3.5,12.843345403671265
10,1500,1488,1509,1500,0.0,-1.1,351,-341.0,-1000.0,-1000.0,-1000.0,-29.731704277956943,-5.576077480952656,26.296485424450097,-14.9519809278622,1747.071614704528,0.0,0.0,1489.48140583022,-0.021188174827344402,-0.5717683612188685,1505.9807923711448,-0.23262821815601958,4.152539640342988,Controller Memory,1500,1500,3.4,13.037342309951782
11,1500,1488,1509,1500,-0.4,-1.4,350,-340.0,-1000.0,-1000.0,-1000.0,-29.501759736943328,-3.551195051020798,26.508005684676927,-13.427227878004476,1747.071614704528,0.0,0.0,1489.3967977261293,-0.047590420381907916,-0.601162886361138,1505.3708911512017,-0.21843861375308624,4.084442882226872,Controller Memory,1500,1500,3.4,13.201347589492798
12,1500,1488,1507,1500,-0.8,0.3,352,-342.0,-1000.0,-1000.0,-1000.0,-29.290060990131888,-1.6869843549656345,27.33519653241837,-10.655544075907503,1747.071614704528,0.0,0.0,1489.0659213870326,-0.07451202149045556,-0.5974300889283712,1504.262217630363,-0.20639722777613023,3.6806504107157147,Controller Memory,1500,1500,3.4,13.352339267730713
13,1500,1488,1506,1500,-0.7,0.0,353,-343.0,-1000.0,-1000.0,-1000.0,-29.065558798849978,0.2899729609335324,27.880312002975117,-8.220644453097274,1747.071614704528,0.0,0.0,1488.84787519881,-0.10211977575815231,-0.6069583431636241,1503.2882577812388,-0.19695913351162783,3.364146333573152,Controller Memory,1500,1500,3.4,13.512462854385376
14,1500,1487,1505,1500,-0.8,-0.5,353,-343.0,-1000.0,-1000.0,-1000.0,-28.838850719362213,2.2863552401335845,28.247195678593705,-6.245211557103685,1747.071614704528,0.0,0.0,1488.7011217285626,-0.13018352959893673,-0.6010730220497501,1502.4980846228414,-0.18972620550652736,3.058542707683128,Controller Memory,1500,1500,3.4,13.67415976524353
15,1500,1487,1504,1500,-1.3,1.2,353,-343.0,-1000.0,-1000.0,-1000.0,-28.57104472634861,4.6446441018447455,28.68058846852653,-3.911669808002297,1747.071614704528,0.0,0.0,1488.5277646125894,-0.15864742167249685,-0.6092622801316988,1501.564667923201,-0.18464776482397435,2.7971665580340606,Controller Memory,1500,1500,3.4,13.865169286727905
