,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,Pterm_z,Iterm_z,Dterm_z,Pterm_roll,Iterm_roll,Dterm_roll,Pterm_pitch,Iterm_pitch,Dterm_pitch,mode,AUX2,AUX3,Battery,time step
0,1400,1486,1484,1500,-1.0,1.1,296,-286.0,-2.5408074441590176,10.999468648555386,258.1900289159441,1000.0,1000.0,31.84243953671844,37.696455133514334,1791.1651012058041,0.0,0.0,1487.2630241853126,-0.01592121976835922,-0.6368487907343688,1484.9214179465944,-0.018848227566757168,-0.20183395461679465,Controller Detection,1500,1500,3.6,3.7353928089141846
1,1750,1486,1484,1500,-1.0,1.0,296,-286.0,-2.5320938067003556,10.902417103729901,253.14142293081798,1000.0,1000.0,31.74674580015741,37.67808018824199,1773.494980257863,0.0,0.0,1487.301301679937,-0.04771581243679715,-0.6349349160031481,1484.9287679247032,-0.05653549522763533,-0.20022217577639623,Controller Detection,1500,1500,3.6,3.9634010791778564
2,1750,1486,1484,1500,-1.0,0.9,296,-286.0,-2.455394970342394,10.500679570003324,245.3391211935714,1000.0,1000.0,31.33942983271737,37.6410739702271,1746.1869241774998,0.0,0.0,1487.4642280669132,-0.07925890025323454,-0.6267885966543474,1484.9435704119091,-0.09419507230686988,-0.1967313118898933,Controller Detection,1500,1500,3.6,4.1754186153411865
3,1746,1486,1484,1500,-0.3,0.6,295,-285.0,-2.617230410631545,11.362973565366337,261.51281604153945,1000.0,1000.0,32.8663821415167,37.1552496624828,1802.7948561453882,0.0,0.0,1486.8534471433934,-0.11136180624035158,-0.6573276428303341,1485.137900135007,-0.13159323412322482,-0.14183119126210805,Controller Detection,1500,1500,3.6,4.352403402328491
4,1750,1485,1485,1500,-0.5,2.4,292,-282.0,-2.618051422089151,11.08671738635112,253.21910918073263,1000.0,1000.0,34.495846806768895,35.32599618684763,1773.7668821325642,0.0,0.0,1486.2016612772925,-0.14504292071449437,-0.6899169361353779,1485.869601525261,-0.16783385704789006,0.09601287274221008,Controller Detection,1500,1500,3.6,4.50622296333313
5,1750,1485,1486,1500,0.0,0.0,291,-281.0,-2.5965258623064753,11.212052698175368,247.68914678489452,1000.0,1000.0,35.22604184416615,34.76362550720908,1754.412013747131,0.0,0.0,1485.9095832623336,-0.1799038650399619,-0.7045208368833229,1486.0945497971163,-0.20287866789491843,0.16858276097139088,Controller Detection,1500,1500,3.6,4.661210298538208
6,1750,1485,1485,1500,-0.3,-3.2,293,-283.0,-2.2603069977446393,12.19727995973221,255.5012415942258,1000.0,1000.0,34.87569322009251,36.521049085115095,1781.7543455797904,0.0,0.0,1486.0497227119629,-0.21495473257209122,-0.6975138644018501,1485.391580365954,-0.23852100519108052,-0.0538722380404113,Controller Detection,1500,1500,3.5,4.819212913513184
7,1750,1485,1484,1500,-0.6,-2.6,295,-285.0,-2.1392379741125214,12.698426602285725,251.20605210744142,1000.0,1000.0,34.032617173687214,37.9625955814821,1766.721182376045,0.0,0.0,1486.3869531305252,-0.24940888776898107,-0.6806523434737441,1484.814961767407,-0.27576282752437914,-0.24481245394802492,Controller Detection,1500,1500,3.5,4.970207452774048
8,1750,1485,1484,1500,-0.5,-1.5,296,-286.0,-3.318908057843418,13.114984685864162,245.8361000641702,1000.0,1000.0,34.09047766624213,37.53161206470567,1747.9263502245958,0.0,0.0,1486.3638089335032,-0.28347043518894577,-0.6818095533248425,1484.9873551741177,-0.313509931347473,-0.1841098196143476,Controller Detection,1500,1500,3.5,5.112205743789673
9,1500,1493,1504,1500,-0.5,-0.8,296,-286.0,-1000.0,-1000.0,-1000.0,-4.522120679008539,13.539855970236127,14.261810299357037,-0.6148512953625915,1747.9263502245958,0.0,0.0,1494.2952758802571,-0.30764657917174537,-0.28523620598714067,1500.245940518145,-0.3319683117321445,5.083569698945836,Controller Memory,1500,1500,3.5,5.257037878036499
