,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,Pterm_z,Iterm_z,Dterm_z,Pterm_roll,Iterm_roll,Dterm_roll,Pterm_pitch,Iterm_pitch,Dterm_pitch,mode,AUX2,AUX3,Battery,time step
0,1400,1511,1512,1500,1.8,18.7,277,-87.0,32.1723715387375,24.688200903793888,248.5699675853934,1000.0,1000.0,-26.33813841156624,-30.836199819462756,1669.9948865488768,0.0,0.0,1510.5352553646264,0.013169069205783122,0.5267627682313248,1512.3344799277852,0.015418099909731378,0.035526010768458564,Controller Detection,1500,1500,3.8,17.359787464141846
1,1669,1510,1511,1500,3.7,17.6,277,-87.0,31.218410007188236,24.150214909363275,246.8664817309841,1000.0,1000.0,-25.750963219270904,-29.91170167050179,1664.0326860584444,0.0,0.0,1510.3003852877084,0.0392136200212017,0.5150192643854181,1511.9646806682008,0.04579205065471366,-0.17948854676399045,Controller Detection,1500,1500,3.8,17.445781469345093
2,1664,1510,1511,1500,3.7,17.6,277,-87.0,31.09589948446768,23.953439215318966,250.82513139032017,1000.0,1000.0,-25.548045494120025,-29.799657488308,1677.8879598661206,0.0,0.0,1510.219218197648,0.06486312437789717,0.5109609098824006,1511.9198629953232,0.07564773023411855,-0.2110519399772451,Controller Detection,1500,1500,3.8,17.516777753829956
3,1677,1510,1513,1500,5.2,13.0,280,-90.0,31.578520722787008,23.82565974110821,259.95248234346707,1000.0,1000.0,-23.825659741108215,-31.578520722787008,1709.8336882021347,0.0,0.0,1509.5302638964433,0.08954997699551129,0.47651319482216437,1512.631408289115,0.10633681933966606,0.2632705762228974,Controller Detection,1500,1500,3.8,17.591784238815308
4,1709,1509,1512,1500,5.2,13.0,280,-90.0,30.508673951147223,22.296445210571978,256.76240985096456,1000.0,1000.0,-22.29644521057198,-30.508673951147223,1698.668434478376,0.0,0.0,1508.9185780842288,0.11261102947135139,0.4459289042114397,1512.203469580459,0.13738041667663317,-0.022005391219008887,Controller Detection,1500,1500,3.8,17.666788578033447
5,1698,1508,1511,1500,7.7,13.7,282,-92.0,28.505859007501055,19.961723143325546,248.90383554014647,1000.0,1000.0,-18.9547228685001,-29.185148099412945,1671.1634243905128,0.0,0.0,1507.5818891474,0.13323661351088745,0.3790944573700021,1511.6740592397653,0.16722732770191326,-0.34485405484592124,Controller Detection,1500,1500,3.8,17.74877905845642
6,1671,1507,1510,1500,8.7,14.2,282,-92.0,27.278255447706872,18.575078332370456,244.23057397293147,1000.0,1000.0,-17.61176551048497,-27.909899156531186,1654.80700890526,0.0,0.0,1507.044706204194,0.15151985770037998,0.35223531020969956,1511.1639596626126,0.1957748513298853,-0.6941417206892178,Controller Detection,1500,1500,3.8,17.8217990398407
7,1654,1507,1510,1500,9.1,15.5,281,-91.0,27.049250761531166,17.80233515773737,248.39465310363929,1000.0,1000.0,-17.327549257751063,-27.35582461832977,1669.3812858627375,0.0,0.0,1506.9310197031004,0.168989515084498,0.34655098515502136,1510.9423298473318,0.22340771321731578,-0.808400880980788,Controller Detection,1500,1500,3.8,17.918784618377686
8,1669,1507,1509,1500,8.4,14.0,281,-91.0,25.8514397180293,16.899090534556343,243.68451568734235,1000.0,1000.0,-16.44534688826737,-26.142432214975514,1652.8958049056982,0.0,0.0,1506.578138755307,0.1858759631575072,0.3289069377653475,1510.4569728859901,0.25015684163396845,-1.056036678066108,Controller Detection,1500,1500,3.8,18.016782760620117
9,1652,1506,1508,1500,7.7,12.3,282,-92.0,24.1941628923096,15.895565346552141,237.72334890073412,1000.0,1000.0,-15.041518089546894,-24.734171692376393,1632.0317211525694,0.0,0.0,1506.0166072358188,0.20161939564641435,0.30083036179093803,1509.8936686769505,0.2755951435876444,-1.36897961423321,Controller Detection,1500,1500,3.8,18.106783866882324
10,1632,1505,1508,1500,6.9,10.4,283,-93.0,23.51632855451995,15.638109925455154,241.69857105159667,1000.0,1000.0,-14.385928897074118,-24.302535680316925,1645.9449986805885,0.0,0.0,1505.7543715588297,0.21633311913972486,-0.23904419028984245,1509.7210142721267,0.30011349727399106,-1.4953777053687418,Controller Detection,1500,1500,3.8,18.20178246498108
11,1645,1505,1507,1500,6.8,9.0,283,-93.0,22.083833318414904,15.040015302617517,237.9125645107517,1000.0,1000.0,-13.863624950125574,-22.840701775137227,1632.693975787631,0.0,0.0,1505.5454499800503,0.2304578960633247,-0.23774676538290657,1509.136280710055,0.3236851160017181,-1.6242814670998573,Controller Detection,1500,1500,3.8,18.286792993545532
12,1632,1505,1508,1500,7.3,8.1,283,-93.0,22.882373977453632,15.709167394322645,251.8442148442744,1000.0,1000.0,-14.490067603155454,-23.673168776547037,1681.4547519549603,0.0,0.0,1505.7960270412623,0.2446347423399652,-0.2211595578192914,1509.469267510619,0.3469420512775603,-1.3792266830220474,Controller Detection,1500,1500,3.8,18.364778995513916
13,1681,1505,1506,1500,7.7,7.3,283,-93.0,20.748729451642916,14.362845152521416,233.94154468443858,1000.0,1000.0,-13.257256775736584,-21.471987274469228,1618.795406395535,0.0,0.0,1505.3029027102946,0.2585084045294112,-0.2113680593074326,1508.5887949097878,0.36951462930306844,-2.4404633929605106,Controller Detection,1500,1500,3.8,18.43978762626648
14,1618,1505,1506,1500,7.7,7.3,283,-93.0,20.580824071788797,14.408920194600112,234.69863930072003,1000.0,1000.0,-13.31205616218443,-21.30672338448884,1621.4452375525202,0.0,0.0,1505.3248224648737,0.2717930609983717,-0.17968778096775104,1508.5226893537956,0.3909039846325475,-2.1954942766023704,Controller Detection,1500,1500,3.8,18.521790504455566
15,1621,1505,1507,1500,6.6,6.4,284,-94.0,20.886812141409155,14.730974490462328,240.9362155454493,1000.0,1000.0,-13.238100214239063,-21.863513752069505,1643.2767544090725,0.0,0.0,1505.2952400856957,0.28506813918658347,-0.1143324530852207,1508.7454055008277,0.41248910320082666,-1.7529019817254876,Controller Detection,1500,1500,3.8,18.614787578582764
16,1643,1505,1507,1500,5.1,6.0,285,-95.0,20.05883907974713,14.441714032929083,234.05055027127193,1000.0,1000.0,-12.638515932309998,-21.241187454208813,1619.1769259494517,0.0,0.0,1505.055406372924,0.298006447259858,-0.0994649915634995,1508.4964749816836,0.4340414538039658,-1.5450516326214103,Controller Detection,1500,1500,3.8,18.70278787612915
17,1619,1505,1507,1500,4.3,6.5,285,-95.0,20.17803820980611,14.711001906678527,237.73672180245666,1000.0,1000.0,-12.896390195684429,-21.383402980240287,1632.0785263085984,0.0,0.0,1505.1585560782737,0.3107739003238552,-0.08862318124133269,1508.5533611920962,0.45535374902119036,-1.3969289861679457,Controller Detection,1500,1500,3.8,18.786781311035156
18,1632,1505,1508,1500,1.9,7.0,287,-97.0,19.989872424715458,14.70783189131025,236.41224726284173,1000.0,1000.0,-12.16204931555476,-21.633304762459577,1627.442865419946,0.0,0.0,1504.8648197262219,0.3233031200794748,-0.0856659514542522,1508.6533219049838,0.4768621028925403,-1.0835334603135147,Controller Detection,1500,1500,3.8,18.862785816192627
19,1627,1505,1508,1500,0.8,7.2,287,-97.0,20.56122581116803,15.18569622063848,244.15280246489883,1000.0,1000.0,-12.566721254576876,-22.258636379462285,1654.5348086271458,0.0,0.0,1505.0266885018307,0.33566750536454065,-0.049495936699400375,1508.903454551785,0.4988080734635012,-0.6346446518950014,Controller Detection,1500,1500,3.8,18.955788135528564
20,1654,1505,1509,1500,0.4,7.1,287,-97.0,20.79442448621471,15.278356412750211,246.39992432280928,1000.0,1000.0,-12.630271002256832,-22.501389263720178,1662.3997351298326,0.0,0.0,1505.0521084009026,0.3482660014929575,-0.03511315789634572,1509.000555705488,0.5211880862850924,-0.4915669445962928,Controller Detection,1500,1500,3.8,19.048786878585815
21,1662,1505,1508,1500,7.0,9.8,285,-95.0,20.508892270393073,14.728903195468561,240.22957653021825,1000.0,1000.0,-12.885387533274534,-21.71455824135978,1640.8035178557639,0.0,0.0,1505.1541550133097,0.3610238307607232,-0.019564748337020814,1508.685823296544,0.5432960600376324,-0.3187112460751091,Controller Detection,1500,1500,3.8,19.140780210494995
22,1640,1504,1509,1500,7.9,9.1,287,-97.0,20.769899221441655,13.89412536704752,239.60074115486276,1000.0,1000.0,-11.259346682776911,-22.308351477890888,1638.6025940420197,0.0,0.0,1504.5037386731108,0.3730961978687489,-0.06461441840757084,1508.9233405911564,0.5653075148972577,-0.40720016017017147,Controller Detection,1500,1500,3.8,19.235785245895386
23,1638,1504,1509,1500,8.6,9.0,287,-97.0,20.992575739829665,13.456299414036618,240.3071292186305,1000.0,1000.0,-10.797646776939555,-22.476010637858625,1641.0749522652068,0.0,0.0,1504.3190587107758,0.38412469459860715,-0.049192199975940584,1508.9904042551434,0.5876996959551325,0.21825124166285265,Controller Detection,1500,1500,3.8,19.32279682159424
24,1641,1503,1510,1500,7.4,9.2,296,-106.0,21.31356136959364,13.299076757762249,240.33863541052284,1000.0,1000.0,-6.909079379622292,-24.153632500937913,1641.18522393683,0.0,0.0,1502.7636317518488,0.3929780576768881,-0.12805953565124276,1509.661453000375,0.6110145175245307,0.6487677747541559,Controller Detection,1500,1500,3.8,19.408782482147217
25,1641,1502,1510,1500,7.4,9.2,296,-106.0,21.191532592759174,12.971431514352448,233.29463283837686,1000.0,1000.0,-6.627762246656297,-23.946019643425245,1616.531214934319,0.0,0.0,1502.6511048986624,0.39974647849002737,-0.13220675935165532,1509.5784078573702,0.6350643435967123,0.4783879023739409,Controller Detection,1500,1500,3.8,19.490784168243408
26,1616,1502,1511,1500,0.7,3.4,297,-107.0,21.887971665909053,13.305387179944894,239.695872120249,1000.0,1000.0,-6.324581451226115,-24.821690134289526,1638.9355524208715,0.0,0.0,1502.5298325804904,0.4062226503389686,-0.12627868962167765,1509.928676053716,0.6594481984855697,0.8122332208164679,Controller Detection,1500,1500,3.8,19.581806421279907
27,1638,1502,1511,1500,0.7,3.4,297,-107.0,22.436269579462593,13.756401868639516,243.41244453087717,1000.0,1000.0,-6.595582147352402,-25.47789397009403,1651.94355585807,0.0,0.0,1502.638232858941,0.41268273213825785,-0.12601616096664053,1510.1911575880376,0.6845979905377615,0.9165438768555745,Controller Detection,1500,1500,3.8,19.676788568496704
28,1651,1502,1512,1500,2.3,1.4,302,-112.0,22.332982116144493,14.087272541075482,245.47951085030658,1000.0,1000.0,-4.6954093036198525,-25.983965619551785,1659.178287976073,0.0,0.0,1501.878163721448,0.41832822786374396,-0.14933280023869816,1510.3935862478206,0.7103289203325844,0.957301724067638,Controller Detection,1500,1500,3.8,19.771809816360474
29,1659,1502,1511,1500,2.3,1.4,302,-112.0,21.291747052461204,14.537560292167287,243.6804480870337,1000.0,1000.0,-5.50296235649296,-25.18723004018923,1652.881568304618,0.0,0.0,1502.2011849425971,0.4234274136938004,-0.14127517796167832,1510.0748920160756,0.7359145181624549,0.6442582937153352,Controller Detection,1500,1500,3.8,19.86178684234619
30,1652,1496,1510,1500,8.8,-8.7,337,-147.0,20.49569826724921,15.883470491828831,243.30404129991703,1000.0,1000.0,8.53838086487262,-24.483756544560237,1651.5641445497097,0.0,0.0,1496.584647654051,0.42190970443961057,-0.4233730373425891,1509.793502617824,0.7607500114548297,0.4284482178079294,Controller Detection,1500,1500,3.8,19.947783708572388
31,1500,1497,1511,1500,8.8,-8.7,337,-147.0,-1000.0,-1000.0,-1000.0,19.662603221856042,17.292016223838907,7.072539581743712,-25.211326312003493,1651.5641445497097,0.0,0.0,1497.1709841673025,0.4141042442163024,-0.39915854230036485,1510.0845305248015,0.7855975528831115,0.7611948765528865,Controller Memory,1500,1500,3.8,20.037782669067383
32,1651,1498,1513,1500,20.9,-4.1,341,-151.0,17.450387634205068,22.774875644863595,241.14098245247138,19.662603221856042,17.292016223838907,4.220974109553495,-28.379470868737094,1643.9934385836498,0.0,0.0,1498.3116103561786,0.4084574873706538,-0.3096064158466082,1511.351788347495,0.8123929514734818,1.34018976071996,Controller Detection,1500,1500,3.8,20.127787113189697
33,1500,1498,1513,1500,21.5,-0.3,341,-151.0,-1000.0,-1000.0,-1000.0,16.709950171764742,24.026761649117162,2.9664465346850246,-29.1154238341674,1643.9934385836498,0.0,0.0,1498.813421386126,0.40486377704853455,-0.2752818662324916,1511.646169533667,0.8411403988249341,1.4856656475504988,Controller Memory,1500,1500,3.8,20.207776308059692
34,1500,1499,1514,1500,20.8,1.3,343,-153.0,-1000.0,-1000.0,-1000.0,15.848965599985926,25.482461272601586,2.5527364234824255,-29.90031905935793,1643.9934385836498,0.0,0.0,1498.978905430607,0.4021041855694508,-0.1892363160620944,1511.9601276237431,0.8706482702716968,1.2642291216281425,Controller Memory,1500,1500,3.8,20.300788164138794
