,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,mode,AUX2,AUX3,Battery,time step
0,1400,1502,1498,1500,2.7,0.4,261,-41.0,2.388324193447082,9.638822258040813,285.09915284553875,1000.0,1000.0,-8.126127520694682,5.707629848940464,Controller Detection,1500,1500,3.7,14.297338485717773
1,1700,1502,1498,1500,2.8,-0.1,261,-41.0,2.4477670658213655,9.271622575079432,275.5055422848695,1000.0,1000.0,-7.930084958502248,5.391502697224467,Controller Detection,1500,1500,3.7,14.363340139389038
2,1700,1502,1498,1500,2.7,-0.2,260,-40.0,2.677446673447829,9.214239239566613,276.24619935602874,1000.0,1000.0,-7.973841961823041,5.337487219750136,Controller Detection,1500,1500,3.7,14.431334257125854
3,1700,1502,1498,1500,2.6,-0.2,260,-40.0,2.677281906471978,9.125001477801613,276.24010446078614,1000.0,1000.0,-7.91635481541808,5.269233038404245,Controller Detection,1500,1500,3.7,14.503381729125977
4,1700,1502,1498,1500,2.5,0.1,260,-40.0,2.6714536370925,9.229491547447765,275.3771663992308,1000.0,1000.0,-7.979055024150759,5.353023414960838,Controller Detection,1500,1500,3.7,14.568355321884155
5,1700,1502,1498,1500,2.3,0.7,259,-39.0,2.6714345563139994,9.04720006874153,275.3783214848238,1000.0,1000.0,-7.7696820619025555,5.349806756272135,Controller Detection,1500,1500,3.7,14.632016658782959
6,1700,1502,1498,1500,1.8,1.3,259,-39.0,2.4856566235274413,9.334787042229419,285.7171156966573,1000.0,1000.0,-7.8062898383258945,5.690217652595548,Controller Detection,1500,1500,3.7,14.742093324661255
7,1700,1502,1498,1500,1.8,1.5,259,-39.0,-1000.0,-1000.0,-1000.0,2.364138754393469,9.52289849166129,-7.830235088000988,5.912881378748278,Controller Memory,1500,1500,3.7,14.81409478187561
8,1700,1502,1498,1500,2.5,1.9,258,-38.0,2.1272119922541237,8.851794248066684,269.82177168249314,2.364138754393469,9.52289849166129,-7.125974631141339,5.6656665827090675,Controller Detection,1500,1500,3.7,14.886098861694336
9,1700,1502,1498,1500,2.1,3.4,258,-38.0,2.0498076365952884,8.935665951765086,271.8654127189321,2.364138754393469,9.52289849166129,-7.116615743343212,5.779413266948276,Controller Detection,1500,1500,3.7,14.964098930358887
10,1700,1502,1497,1500,2.1,6.1,257,-37.0,1.9571923274729428,9.045655545017551,276.8942869557892,2.364138754393469,9.52289849166129,-7.006894693962193,6.046313984036074,Controller Detection,1500,1500,3.7,15.043083906173706
11,1700,1502,1497,1500,4.6,9.3,255,-35.0,1.6742397656783656,9.039977557078558,276.69608775628683,2.364138754393469,9.52289849166129,-6.55657503856791,6.4448116178124994,Controller Detection,1500,1500,3.7,15.125137567520142
12,1700,1502,1497,1500,13.2,11.4,249,-29.0,1.2637590634721132,9.198419569877284,275.9134326542243,2.364138754393469,9.52289849166129,-5.564790880527418,7.432436478706575,Controller Detection,1500,1500,3.7,15.2001314163208
