,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,mode,AUX2,AUX3,Battery,time step
0,1400,1500,1500,1500,1.4,0.4,6,174.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,Controller Memory,1500,1500,3.8,9.057970523834229
1,1400,1486,1488,1500,1.1,0.4,5,175.0,28.301680532284465,-20.46697064225262,302.5097322745514,0.0,0.0,26.410170065228115,22.85574162760967,Controller Detection,1500,1500,3.8,9.119958877563477
2,1600,1486,1488,1500,1.1,0.4,5,175.0,29.384317126319832,-20.118514490336626,301.84686837769095,0.0,0.0,27.519056854901482,22.602969453032454,Controller Detection,1500,1500,3.8,9.184966087341309
3,1600,1485,1489,1500,1.1,0.4,5,175.0,30.108941444391103,-19.26309805869382,295.6574954900984,0.0,0.0,28.315478213130806,21.81396330982385,Controller Detection,1500,1500,3.8,9.254954099655151
4,1600,1484,1489,1500,0.4,-0.1,4,176.0,32.96705041907177,-19.723675832739463,310.55832546805954,0.0,0.0,31.510890265804935,21.975295136698634,Controller Detection,1500,1500,3.8,9.325963735580444
5,1600,1484,1489,1500,0.1,-0.4,5,175.0,32.648835843183896,-18.257987970864068,295.19829949728813,0.0,0.0,30.93330866316908,21.034044352156723,Controller Detection,1500,1500,3.8,9.393960952758789
6,1600,1484,1490,1500,-1.0,-0.8,5,175.0,-1000.0,-1000.0,-1000.0,32.35400192317637,-16.89999078730186,30.757953928422562,19.655518288583067,Controller Memory,1500,1500,3.8,9.45696210861206
7,1400,1484,1490,1500,-1.9,-0.7,6,174.0,-1000.0,-1000.0,-1000.0,32.04047575177474,-15.455897591628897,30.24937344948102,18.72037026014224,Controller Memory,1500,1500,3.8,9.524961709976196
8,1400,1482,1490,1500,-0.6,-0.1,6,174.0,37.31152650967378,-15.948792083559077,300.4674709174403,32.04047575177474,-15.455897591628897,35.440027336014595,19.76153946000221,Controller Detection,1500,1500,3.8,9.624963998794556
9,1600,1482,1491,1500,-0.6,-0.1,6,174.0,-1000.0,-1000.0,-1000.0,36.927813740412304,-14.181421287347298,35.24315713880381,17.963741599828058,Controller Memory,1500,1500,3.8,9.7069571018219
10,1400,1482,1492,1500,-0.4,-1.0,6,174.0,-1000.0,-1000.0,-1000.0,36.47383069163071,-12.090387455098083,35.01023360979015,15.836708519261682,Controller Memory,1500,1500,3.8,9.80396580696106
11,1400,1481,1492,1500,-1.6,-0.3,5,175.0,39.10890143418131,-12.309809458228576,301.32459286191664,36.47383069163071,-12.090387455098083,37.887209670510025,15.671532269347976,Controller Detection,1500,1500,3.8,9.891961812973022
12,1600,1481,1492,1500,-1.6,-0.3,5,175.0,-1000.0,-1000.0,-1000.0,38.799991143160355,-10.88697688465925,37.70348290616396,14.227190697429652,Controller Memory,1500,1500,3.8,9.95797085762024
13,1400,1479,1493,1500,-0.5,0.2,6,174.0,41.71706535811358,-9.569876009124002,316.1035578916119,38.799991143160355,-10.88697688465925,40.488210476257535,13.878071960953255,Controller Detection,1500,1500,3.8,10.02195954322815
