,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,Pterm_z,Iterm_z,Dterm_z,Pterm_roll,Iterm_roll,Dterm_roll,Pterm_pitch,Iterm_pitch,Dterm_pitch,mode,AUX2,AUX3,Battery,time step
0,0,1500,1500,1500,-3.8,1.2,188,2.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,1500.0,0.0,0.0,Controller Memory,1500,1500,3.6,28.733708143234253
1,0,1500,1500,1500,-0.3,0.1,189,1.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,1500.0,0.0,0.0,Controller Memory,1500,1500,3.6,30.496219635009766
2,1400,1530,1470,1500,-0.3,0.1,189,1.0,78.71723552683694,31.033971440549728,386.58787950266026,0.0,0.0,-78.16362902764719,32.40305000441665,2153.057578259311,0.0,0.0,1531.2654516110588,0.00390818145138236,156.32725805529438,1487.0387799982334,-0.0016201525002208326,-64.8061000088333,Controller Detection,1500,1500,3.6,30.562225103378296
3,1750,1530,1470,1500,-0.3,0.1,188,2.0,76.55674996830743,30.266615538742244,376.2746590189206,0.0,0.0,-75.45382401553069,32.919969977405756,2116.961306566222,0.0,0.0,1530.1815296062123,0.007680872652158895,165.11921694517903,1486.8320120090377,-0.0032661509990911204,-71.73140359197818,Controller Detection,1500,1500,3.6,30.627217769622803
4,1750,1530,1470,1500,-0.3,0.2,188,2.0,78.71723552683694,31.033971440549728,386.58787950266026,0.0,0.0,-77.58621312986755,33.76225828535683,2153.057578259311,0.0,0.0,1531.034485251947,0.011560183308652272,170.18326416384227,1486.4950966858573,-0.004954263913358962,-74.04555326089348,Controller Detection,1500,1500,3.6,30.688220977783203
5,1750,1530,1470,1500,-0.3,0.2,188,2.0,-1000.0,-1000.0,-1000.0,80.80673391985577,31.776114296987778,-79.64853824475065,34.57687149069581,2153.057578259311,0.0,0.0,1531.8594152979003,0.015542610220889805,174.76828232257787,1486.1692514037218,-0.006683107487893752,-75.88515691420011,Controller Memory,1500,1500,3.6,30.747219800949097
6,1750,1530,1470,1500,-0.3,0.0,188,2.0,78.61908306842552,31.15370040568397,386.48704717690686,80.80673391985577,31.776114296987778,-77.4839419826579,33.87848884344181,2152.704665119174,0.0,0.0,1530.993576793063,0.0194168073200227,170.8559096310047,1486.4486044626233,-0.008377031930065842,-74.65562831544726,Controller Detection,1500,1500,3.6,30.81022334098816
7,1750,1530,1470,1500,-0.3,0.0,188,2.0,-1000.0,-1000.0,-1000.0,80.85009982637348,31.94610740395522,-79.68594506005377,34.74827449076706,2152.704665119174,0.0,0.0,1531.8743780240216,0.02340110457302539,174.90424554110797,1486.1006902036931,-0.010114445654604195,-76.28342428293841,Controller Memory,1500,1500,3.6,30.873218059539795
8,1750,1530,1470,1500,-0.1,-0.2,187,3.0,78.34278502720082,31.04635742828364,385.1291577039614,80.85009982637348,31.94610740395522,-76.6105781592217,35.10395404356503,2147.952051963865,0.0,0.0,1530.6442312636887,0.027231633480986474,169.12154227672593,1485.9584183825739,-0.011869643356782447,-77.14276484012446,Controller Detection,1500,1500,3.7,30.936222553253174
9,1750,1530,1470,1500,-0.1,-0.2,187,3.0,77.00562511213684,30.453018727339895,378.5604612774138,80.85009982637348,31.94610740395522,-75.30630372363873,34.44144694988509,2124.9616144709485,0.0,0.0,1530.1225214894555,0.03099694866716841,165.987293108798,1486.223421220046,-0.013591715704276702,-75.89587252159967,Controller Detection,1500,1500,3.7,31.004223585128784
